keyword,count,,,,,,,,,,,,,,,,,,,,,,,,,,,
insurance,12571,,insurance,insurance,,,,,,,,,,,,,,,,,,,,,,,,
credit,6834,,credit,,credit,,,,,,,,,,,,,,,,,,,,,,,
,6020,,car,,,car,,,,,,,,,,,,,,,,,,,,,,
card,5949,,mortgage,,,,mortgage,,,,,,,,,,,,,,,,,,,,,
car,5475,,loan,,,,,loan,,,,,,,,,,,,,,,,,,,,
best,4839,,isa,,,,,,isa,,,,,,,,,,,,,,,,,,,
bank,4613,,interest,,,,,,,interest,,,,,,,,,,,,,,,,,,
mortgage,4438,,travel,,,,,,,,travel,,,,,,,,,,,,,,,,,
account,4122,,saving,,,,,,,,,saving,,,,,,,,,,,,,,,,
loan,2883,,calculator,,,,,,,,,,calculator,,,,,,,,,,,,,,,
,2285,,compare,,,,,,,,,,,compare,,,,,,,,,,,,,,
isa,2145,,deal,,,,,,,,,,,,deal,,,,,,,,,,,,,
buy,2089,,debit,,,,,,,,,,,,,debit,,,,,,,,,,,,
money,2021,,gas,,,,,,,,,,,,,,gas,,,,,,,,,,,
interest,1919,,house,,,,,,,,,,,,,,,house,,,,,,,,,,
travel,1834,,business,,,,,,,,,,,,,,,,business,,,,,,,,,
broadband,1791,,tax,,,,,,,,,,,,,,,,,tax,,,,,,,,
phone,1722,,breakdown,,,,,,,,,,,,,,,,,,breakdown,,,,,,,
cover,1682,,current,,,,,,,,,,,,,,,,,,,current,,,,,,
home,1598,,deposit,,,,,,,,,,,,,,,,,,,,deposit,,,,,
loans,1590,,electric,,,,,,,,,,,,,,,,,,,,,electric,,,,
transfer,1585,,ppi,,,,,,,,,,,,,,,,,,,,,,ppi,,,
,1569,,switch,,,,,,,,,,,,,,,,,,,,,,,switch,,
rates,1553,,overdraft,,,,,,,,,,,,,,,,,,,,,,,,overdraft,
savings,1500,,build,,,,,,,,,,,,,,,,,,,,,,,,,build
,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare,1427,,,,,,,,,,,,,,,,,,,,,,,,,,,
calculator,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,
rate,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,
much,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,
check,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,
deals,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,
debit,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,
gas,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,
cards,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,
business,977,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,959,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,951,,,,,,,,,,,,,,,,,,,,,,,,,,,
tax,923,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheap,916,,,,,,,,,,,,,,,,,,,,,,,,,,,
life,910,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad,886,,,,,,,,,,,,,,,,,,,,,,,,,,,
barclays,867,,,,,,,,,,,,,,,,,,,,,,,,,,,
